Type,Filename,Titulo,Autor,Asunto,Palabras_Clave,File_Size,Fecha_Creacion,Fecha_Modificacion,Categoria,Comentarios,Numero_Paginas
pdf,0718-0764-infotec-30-01-247.pdf,Densidad de Líquidos Iónicos usando  Contribución de Grupos y  Redes Artificiales Neuronales,Reategui,,,0.49,D:20190220152757-04'00',D:20190220152757-04'00',,,
pdf,0718-5006-formuniv-13-05-233.pdf,,hp Leonardo contreras,,,1.08,D:20200827163113-04'00',D:20200827163113-04'00',,,
pdf,1252-Texto del artículo-1865-1-10-20120823.pdf,,,,,0.64,D:20080211164452-06'00',D:20080211164452-06'00',,,
pdf,20025-66077-1-PB es-ES.pdf,"International Journal of Online and Biomedical Engineering (iJOE) – eISSN: 2626-8493 – Vol. 17, No. 02, 2021",,,", docId:4C4D1B3D287DC88FED79B0B38EF96E7C",0.68,D:20220831065235Z,D:20220831065239Z,,,
pdf,20025-66077-1-PB.pdf,"International Journal of Online and Biomedical Engineering (iJOE) – eISSN: 2626-8493 – Vol. 17, No. 02, 2021",,,,1.07,D:20210204154449+01'00',D:20210204161337+01'00',,,
pdf,2011-Artículos científicos.pdf,,USUARIO,,,0.27,D:20141103152507-05'00',D:20141103152507-05'00',,,
pdf,2012-El ensayo académico.pdf,,,,,0.41,D:20190525085258-06'00',D:20190525085307-06'00',,,
pdf,2016-El ensayo académico aproximación y recomendaciones para su escritura.pdf,,,,,0.74,D:20160808152239-05'00',D:20160808152240-05'00',,,
pdf,"2019-El ensayo, un método para la enseñanza-aprendizaje de la comunicación escrita.pdf",,GISELA,,,0.26,D:20181220184409-06'00',D:20181220184409-06'00',,,
pdf,2020-Enseñanza de la argumentación escrita en estudiantes de ingeniería Una experiencia de alfabetización académica.pdf,Article,yaog,,,0.45,D:20201006121743-05'00',D:20201006121743-05'00',,,
pdf,228074134.pdf,,ALBERTO MAISUECHE CUADRADO,,,3.65,D:20190728172359+02'00',D:20190728172359+02'00',,,
pdf,2767-Texto del artículo-10150-1-10-20210802.pdf,,,,,2.32,D:20210802130928-04'00',D:20210802131223-04'00',,,
pdf,38480-Texto del artículo-72302-1-10-20220719.pdf,,,,,0.62,D:20220718115922-04'00',D:20220718115924-04'00',,,
pdf,463561-Texto del artículo-1637201-1-10-20210329.pdf,,Silvia Avilés,,,0.65,D:20210329084815+02'00',D:20210329084815+02'00',,,
pdf,5.-Steiner-Una-breve-historia-de.pdf,,,,,0.27,D:20150716165114-03'00',,,,
pdf,55110208.pdf,"Redalyc.El rendimiento académico:   concepto, investigación y desarrollo        ","Edel Navarro, Rubén

","El rendimiento académico:   concepto, investigación y desarrollo        . REICE. Revista Iberoamericana sobre Calidad, Eficacia y Cambio en Educación Edel Navarro, Rubén

vol. 1, núm. 2, julio-diciembre, 2003, p. 0
Red Iberoamericana de Investigación Sobre Cambio y Eficacia Escolar Madrid, España",,0.28,D:20150324183400-06'00',D:20150324183400-06'00',,,
pdf,92502902.pdf,Redalyc.Minería de Datos: Conceptos y Tendencias,"Riquelme, José C.; Ruiz, Roberto; Gilbert, Karina

","Minería de Datos: Conceptos y Tendencias. Inteligencia Artificial. Revista Iberoamericana de Inteligencia Artificial Riquelme, José C.; Ruiz, Roberto; Gilbert, Karina

vol. 10, núm. 29, primavera, 2006, pp. 11-18
Asociación Española para la Inteligencia Artificial Valencia, España",,0.14,D:20150325020452-06'00',D:20150325020452-06'00',,,
docx,A1- TASK 1-4.docx,,Tatiana Salazar Bedoya,,,0.02,2021-11-27 23:11:00,2021-11-28 00:34:00,,,
docx,Actividad 1. Introducción a la formulación de proyectos.docx,,Robinson Usuga,,,0.02,2019-08-14 03:41:00,2022-07-08 23:03:00,,,
xlsx,Actividad3_IngProyectos.xlsx,,Maria Eugenia Arroyave Torres,,,0.31,2021-04-25 22:35:03,2022-11-02 20:05:35,,,
xlsx,Almacenados.xlsx,,Kamarfer,,,0.02,2020-10-21 15:44:07,2022-05-24 00:53:24,,,
docx,Antecedentes de la investigación.docx,,TATIANA  SALAZAR BEDOYA,,,0.02,2022-04-04 20:04:00,2022-04-05 04:53:00,,,
pdf,Aplicación_de_técnicas_de_minería_de_datos_para_la_evaluación_del.pdf,,Osvaldo,,,0.21,D:20100325001420Z,D:20100506120151-04'00',,,
pdf,Art6_RT2018.pdf,,,,,1.13,D:20181122094933-06'00',D:20181122094934-06'00',,,
pptx,Campaña Educativa.pptx,Presentación de PowerPoint,Tatiana Salazar Bedoya,,,1.04,2021-05-09 22:17:54,2021-05-09 23:29:25,,,6.0
pdf,Clase 1-Introducción a la Ingeniería de Requisitos.pdf,Ingeniería de Requisitos,Claudia Elena Durango Vanegas,,,1.66,D:20220210094625-05'00',D:20220210094625-05'00',,,
xlsx,Clase 4-Plantilla-Historias-de-Usuario.xlsx,Plantilla Historias de Usuario,Urtanta,Plantilla Historias de Usuario,Historias de Usuario,0.02,2017-12-27 09:40:44,2023-08-30 13:09:49,,,
pdf,clasesUML.pdf,,Santiago Munera,,,0.07,D:20220901221609-05'00',D:20220901221609-05'00',,,
docx,Conflicto basado en Ana Frank.docx,,Tatiana Salazar Bedoya,,,0.02,2021-02-20 22:34:00,2021-02-22 21:52:00,,,
docx,CREATE TABLE tblDispositivo.docx,,Tatiana Salazar Bedoya,,,0.02,2020-05-10 23:29:00,2020-05-10 23:31:00,,,
pdf,Cuaderno-Redaccion-Cientifica_Mari-Mutt.pdf,Manual de Redacción Científica FIN,Pilar Castro,,,1.69,D:20041117184100,,,,
xlsx,Curspgrama.xlsx,,user,,,0.02,2022-05-22 17:50:36,2022-05-23 22:49:01,,,
pdf,DDL- SQL server.pdf,,Tatiana Salazar Bedoya,,,0.42,D:20200428224618-05'00',D:20200428224618-05'00',,,
docx,Descripcion del software de avalúo.docx,,Tatiana Salazar Bedoya,,,0.01,2022-02-16 20:13:00,2022-02-16 20:29:00,,,
docx,Descripción software de avaluo.docx,,Santiago Munera,,,0.01,2022-05-17 22:00:00,2022-05-17 22:00:00,,,
pdf,Descripción software de avaluo.pdf,,MARIA ANTONIA PENAGOS MARIN,,,0.01,D:20220218214357-05'00',D:20220218214357-05'00',,,
docx,Descripción_textos.docx,,TATIANA  SALAZAR BEDOYA,,,1.44,2022-05-18 22:07:00,2022-05-19 08:10:00,,,
docx,Dificultades horario 2023-2.docx,,User,,,0.55,2023-06-22 13:54:00,2023-07-04 13:54:16,,,
docx,Doc1.docx,,TATIANA  SALAZAR BEDOYA,,,1.26,2023-07-24 22:10:00,2023-07-24 22:19:00,,,
docx,Documento.docx,,TATIANA  SALAZAR BEDOYA,,,0.01,2023-09-07 23:59:27,2012-08-07 06:29:00,,,
pdf,EL MACHINE LEARNING.pdf,,yilmar stiven sanchez hinestroza,,,0.8,D:20180531092642-05'00',D:20180531092642-05'00',,,
docx,El objetivo de Spotify es permitir que los usuarios se conecten con un servicio de música.docx,,Tatiana Salazar Bedoya,,,0.02,2021-04-13 11:38:00,2021-04-14 02:32:00,,,
docx,En este articulo se prueba el estudio de la regresión lineal.docx,,Tatiana Salazar Bedoya,,,0.02,2020-11-13 01:41:00,2020-11-13 01:41:00,,,
xlsx,Estibas.xlsx,,Kamarfer,,,0.02,2020-10-21 15:44:07,2022-05-24 00:50:01,,,
docx,Evidencias.docx,,TATIANA  SALAZAR BEDOYA,,,0.36,2022-04-27 14:38:00,2022-04-27 14:47:00,,,
xlsx,ex.xlsx,,user,,,0.02,2022-05-22 17:50:36,2022-05-22 21:51:53,,,
xlsx,FORMARO CUENTA DE COBRO (AGOSTO).xlsx,,Tatiana Salazar Bedoya,,,0.02,2022-01-25 23:18:11,2022-01-25 23:22:57,,,
xlsx,Formulacion de Proyectos.xlsx,,Maria Eugenia Arroyave Torres,,,0.4,2021-04-25 22:35:03,2022-09-07 18:30:07,,,
xlsx,FORMULACIÃ_N DE PROYECTOS EN INGENIERÃ_A. Activ.xlsx,,Maria Eugenia Arroyave Torres,,,0.07,2021-04-25 22:35:03,2022-10-20 04:09:58,,,
xlsx,FORMULACIÓN DE PROYECTOS PARA INGENIERÍA. ACT (1).xlsx,,Robin,,,0.02,2022-10-26 17:32:16,2022-11-02 23:04:11,,,
xlsx,FORMULACIÓN DE PROYECTOS PARA INGENIERÍA. ACT.xlsx,,Robin,,,0.02,2022-10-26 17:32:16,2022-11-02 23:39:59,,,
xlsx,Galletas.xlsx,,William Camilo Moreno Espinosa,,,0.07,2022-05-03 14:27:59,2022-05-22 19:25:19,,,
pdf,Garcia_DJD-SD.pdf,,,,,4.77,D:20220310090314-05'00',D:20220310090509-05'00',,,
docx,GERENCIA_DE_LA_TECNOLOGIA_PARCIAL.docx,,TATIANA  SALAZAR BEDOYA,,,0.01,2023-09-09 03:11:00,2023-09-09 03:17:00,,,
docx,Gig Mable Run.docx,,Tatiana Salazar Bedoya,,,0.02,2020-02-12 20:56:00,2020-02-13 00:08:00,,,
pdf,Guia del PMBOOK. Séptima edición.pdf,,,,,4.71,D:20220708174610,,,,
docx,HORARIO SEMESTRE 8.docx,,TATIANA  SALAZAR BEDOYA,,,0.02,2023-06-06 21:08:00,2023-06-06 22:01:00,,,
docx,IA PARA LA SUPERVICIÓN DE LA MASCARILLA EN PREVENCION DEL COVID.docx,,TATIANA  SALAZAR BEDOYA,,,0.03,2022-05-22 18:15:00,2022-05-23 04:33:00,,,
docx,ingles 6 del semestre 7.docx,,TATIANA  SALAZAR BEDOYA,,,0.22,2023-06-07 22:16:00,2023-06-07 22:24:00,,,
docx,Investigacion.docx,,TATIANA  SALAZAR BEDOYA,,,0.02,2022-03-03 21:14:00,2022-03-04 22:32:00,,,
docx,Investigacion_Actividad6.docx,,TATIANA  SALAZAR BEDOYA,,,0.02,2022-05-09 23:58:00,2022-05-16 01:35:00,,,
docx,Journal of Experimental Biology y la edición digital Popular Science dan a conocer un poco de la biomecánica.docx,,Tatiana Salazar Bedoya,,,0.02,2020-04-24 00:28:00,2020-04-24 04:39:34,,,
pdf,Laboratorio Logica booleana.pdf,,TATIANA  SALAZAR BEDOYA,,,0.57,D:20220304084258-05'00',D:20220304084258-05'00',,,
docx,Laboratorio Logica Difusa.docx,,TATIANA  SALAZAR BEDOYA,,,0.2,2022-03-11 12:31:00,2022-03-11 12:39:00,,,
docx,Lenguaje DDL en SQL server.docx,,Tatiana Salazar Bedoya,,,0.65,2020-04-29 00:35:00,2020-05-10 21:40:00,,,
docx,"Lenguaje DDL, DML, SQL.docx",,Tatiana Salazar Bedoya,,,0.13,2020-04-16 22:10:00,2020-04-17 00:28:00,,,
xlsx,Libro 1.xlsx,,,,,0.03,2021-10-19 17:50:33,2021-10-23 06:09:20,,,
xlsx,Libro.xlsx,,,,,0.01,2021-10-19 17:50:18,2021-10-19 17:50:18,,,
pdf,libroOpenData.pdf,,,,,5.43,D:20190424164314-05'00',D:20190424164324-05'00',,,
xlsx,Listones.xlsx,,Kamarfer,,,0.02,2020-10-21 15:44:07,2022-05-24 00:36:46,,,
xlsx,Longitud Estiba.xlsx,,Kamarfer,,,0.02,2020-10-21 15:44:07,2022-05-24 00:47:31,,,
xlsx,Longitud Troza.xlsx,,Kamarfer,,,0.02,2020-10-21 15:44:07,2022-05-24 00:39:11,,,
xlsx,Madera en Troza.xlsx,,Kamarfer,,,0.02,2020-10-21 15:44:07,2022-05-24 00:31:56,,,
pdf,Manual_de_redaccion_cientifica.pdf,Manual de Redacción Científica,des_academico,"Normas para redactar, citar y referenciar según el estilo APA",,1.18,D:20150404052738-05'00',D:20150404052738-05'00',,,
docx,Matrices.docx,,,,,0.69,2020-03-31 04:25:00,2020-03-31 04:25:00,,,
pdf,Memoria TFM Machine Learning_Juan_Zamorano_para_difundir (2).pdf,,Juan Zamorano,,,2.98,D:20180708105557+02'00',D:20180709131734+02'00',,,
pdf,Modelamiento y Arquitectura de Datos.pdf,,Tatiana Salazar Bedoya,,,0.82,D:20200525194514-05'00',D:20200525194514-05'00',,,
pptx,MODELAMIENTO Y ARQUITECTURA DE DATOS.pptx,MODELAMIENTO Y ARQUITECTURA DE DATOS,jc gm,,,0.09,2020-03-24 02:18:35,2020-03-26 11:19:06,,,17.0
pptx,MODELAMIENTO Y ARQUITECTURA DE DATOS_mayo 13-14.pptx,MODELAMIENTO Y ARQUITECTURA DE DATOS,jc gm,,,0.42,2020-03-24 02:18:35,2020-05-13 13:49:01,,,57.0
pptx,Modelo Entidad Relación- Relacional.pptx,Modelo Entidad Relación,jc gm,,,0.04,2020-03-19 01:20:16,2020-03-19 02:48:06,,,3.0
pdf,NotasMD.pdf,,Beatriz Beltran Martinez,,,1.62,D:20160113085324-06'00',D:20160113085324-06'00',,,
pdf,Olmos_Camarena_Lara_tfg.pdf,,,,,4.39,D:20180111232528+01'00',D:20180111232528+01'00',,,
docx,PALABRAS.docx,,TATIANA  SALAZAR BEDOYA,,,0.18,2023-08-19 01:01:00,2023-08-19 02:33:00,,,
pdf,pdf-423-una-breve-historia-del-machine-learning-lectura-pdf_compress.pdf,,,,,0.55,D:20220814204744Z00'00',D:20220814204744Z00'00',,,
docx,Por qué surgió.docx,,Tatiana Salazar Bedoya,,,0.02,2020-05-20 04:21:00,2020-05-20 04:51:00,,,
xlsx,Practica_Modelamiento.xlsx,,Tatiana Salazar Bedoya,,,0.02,2022-04-25 23:33:54,2022-04-26 03:15:17,,,
pdf,PrestTallerRC-1.pdf,Presentación de PowerPoint,carlos pillajo,,,1.69,D:20160918011744-05'00',D:20160918011744-05'00',,,
docx,PROPUESTA-CARREFOUR.docx,,TATIANA  SALAZAR BEDOYA,,,0.03,2023-09-02 02:52:00,2023-09-02 03:33:00,,,
docx,qué diferencia hay entre la ética y la moral.docx,,TATIANA  SALAZAR BEDOYA,,,0.02,2022-08-30 20:53:00,2022-08-31 03:40:00,,,
docx,"referencia, investigacion.docx",,TATIANA  SALAZAR BEDOYA,,,0.04,2022-04-24 04:33:00,2022-04-24 05:20:00,,,
docx,Reseña.docx,,TATIANA  SALAZAR BEDOYA,,,0.01,2022-05-11 00:00:00,2022-05-11 05:18:00,,,
docx,Resumen Inteligencia artificial en dermatología.docx,,Tatiana Salazar Bedoya,,,0.03,2022-02-19 23:29:00,2022-02-24 01:28:00,,,
docx,RESUMEN.docx,,TATIANA  SALAZAR BEDOYA,,,0.04,2022-04-16 00:18:00,2022-04-21 05:10:00,,,
docx,Resumen2 IA en dermatologia.docx,,Tatiana Salazar Bedoya,,,0.1,2022-02-23 19:54:00,2022-02-24 02:45:00,,,
docx,RESUMENES_REDESNEURONALESCOVID-19.docx,,TATIANA  SALAZAR BEDOYA,,,0.7,2022-04-14 23:01:00,2022-04-21 15:11:00,,,
docx,RESUMEN_COVIDNet-CT.docx,,TATIANA  SALAZAR BEDOYA,,,0.11,2022-04-16 21:56:00,2022-04-21 05:12:00,,,
docx,Resumen_LosLogrosdelaCientificosyTengologicos.docx,,TATIANA  SALAZAR BEDOYA,,,0.01,2022-04-21 15:54:00,2022-04-21 16:56:00,,,
docx,Resumen_TatianaSalazarBedoya.docx,,TATIANA  SALAZAR BEDOYA,,,0.02,2022-04-28 15:48:00,2022-04-28 16:23:00,,,
docx,Resumen_textoscientificos.docx,,TATIANA  SALAZAR BEDOYA,,,0.14,2022-03-29 21:14:00,2022-03-31 16:23:00,,,
docx,RESUMEN_Unmodeloeficaz.docx,,TATIANA  SALAZAR BEDOYA,,,0.05,2022-04-17 21:06:00,2022-04-17 21:25:00,,,
docx,Roles del sistema.docx,,TATIANA  SALAZAR BEDOYA,,,0.28,2023-09-13 19:37:00,2023-09-15 16:28:00,,,
docx,Segundo momento evacuativo.docx,,Tatiana Salazar Bedoya,,,0.01,2021-04-28 03:02:00,2021-04-28 03:40:00,,,
pdf,Segundo momento evacuativo.pdf,,Tatiana Salazar Bedoya,,,0.1,D:20210427224020-05'00',D:20210427224020-05'00',,,
pdf,SernaTangarife_AndresSantiago_2010.pdf;jsessionid=016A9FB0EABDD29AF4A1AF108AD2E387.pdf,,WinuE,,,1.28,D:20100807153551,D:20100807153551,,,
docx,Subconsultas.docx,,Tatiana Salazar Bedoya,,,0.3,2020-04-24 20:16:00,2020-04-25 00:22:00,,,
docx,Taller Instalación y prueba funcional_Tatiana Salazar.docx,,Tatiana Salazar Bedoya,,,4.2,2021-07-30 23:47:00,2021-07-31 04:36:00,,,
docx,TATIANA SALAZAR BEDOYA id 30000067757.docx,,TATIANA  SALAZAR BEDOYA,,,0.68,2022-03-04 13:17:00,2022-03-04 13:50:00,,,
xlsx,test copy.xlsx,,Robinson Martin Usuga Rueda,,,0.03,2023-08-28 19:25:45,2023-08-28 19:41:53,,,
docx,test.docx,,,,,0.07,2023-08-28 04:01:00,2023-08-28 04:04:00,,,
pdf,test.pdf,,,,,4.96,D:20230912224522+00'00',D:20230912224522+00'00',,,
pptx,test.pptx,Presentación de PowerPoint,USUARIO,,,0.65,2020-02-03 21:07:58,2022-10-03 15:09:03,,,22.0
xlsx,test.xlsx,,Robinson Martin Usuga Rueda,,,0.03,2023-08-28 19:25:45,2023-08-28 19:41:53,,,
pdf,Tipología de artículos científicos.pdf,Escritura de artículos científicos,Claudia Elena Durango Vanegas,,,0.35,D:20220309184454-05'00',D:20220309184454-05'00',,,
pptx,Tipología de artículos científicos.pptx,Escritura de artículos científicos,Claudia Elena Durango Vanegas,,,1.84,2022-03-09 16:11:17,2022-03-09 23:56:30,,,24.0
docx,trabajo investigación - unidad 6.docx,,Davinson Anaya Sierra,,,0.02,2022-05-15 15:20:00,2022-05-22 18:14:00,,,
docx,trabajo investigación - unidad 5.docx,,Davinson Anaya Sierra,,,0.02,2022-04-22 02:54:00,2022-04-25 03:45:00,,,
